,GEO_NAME,0_x,Immigrants,Non-immigrants,Non-permanent residents,0_y,With children,Without children,0,Married or living common-law,Not married and not living common-law
0,Abbotsford - Mission,192115.0,113400.0,136190.0,5840.0,161245.0,24725.0,20920.0,161165.0,201485.0,132420.0
1,Alma,29320.0,650.0,28955.0,105.0,25910.0,2920.0,4505.0,25685.0,37410.0,21050.0
2,Amos,18215.0,590.0,17870.0,110.0,15765.0,1870.0,2520.0,15585.0,22605.0,13295.0
3,Baie-Comeau,25715.0,750.0,25260.0,145.0,23035.0,2530.0,4080.0,22830.0,34005.0,18850.0
4,Barrie,210155.0,78615.0,171405.0,3410.0,180540.0,27000.0,22210.0,176655.0,220955.0,152630.0
5,Bathurst,30540.0,1820.0,29505.0,290.0,28630.0,2940.0,5335.0,27915.0,38310.0,22210.0
6,Belleville - Quinte West,109250.0,19685.0,99070.0,1115.0,97040.0,11620.0,15075.0,93920.0,119975.0,79410.0
7,Brandon,52745.0,23275.0,42410.0,1160.0,43225.0,5925.0,5950.0,44260.0,53610.0,39410.0
8,Brantford,141905.0,44620.0,120245.0,1435.0,123595.0,17235.0,16285.0,119485.0,149600.0,102205.0
9,Brockville,30880.0,6130.0,27930.0,95.0,27480.0,2800.0,4655.0,27715.0,33515.0,24955.0
10,Brooks,14645.0,14530.0,8860.0,350.0,11290.0,1830.0,1220.0,11510.0,14225.0,9765.0
11,Calgary,1465175.0,1094920.0,976430.0,27865.0,1220485.0,196080.0,152595.0,1207615.0,1539685.0,984175.0
12,Campbell River,39930.0,9000.0,35595.0,230.0,36350.0,3805.0,6360.0,34780.0,46255.0,27805.0
13,Campbellton,12655.0,700.0,12290.0,75.0,11275.0,1100.0,1885.0,11785.0,14065.0,11295.0
14,Campbellton (New Brunswick part),11330.0,675.0,10980.0,75.0,10130.0,985.0,1700.0,10635.0,12565.0,10230.0
15,Campbellton (Quebec part),1320.0,20.0,1305.0,0.0,1150.0,115.0,190.0,1150.0,1495.0,1065.0
16,Camrose,18185.0,4740.0,16145.0,180.0,15560.0,1850.0,2475.0,15600.0,19105.0,13480.0
17,Canmore,15525.0,7870.0,11705.0,550.0,13880.0,1640.0,2570.0,13935.0,19520.0,10460.0
18,Cape Breton,96640.0,5050.0,92120.0,2335.0,84600.0,8455.0,12185.0,85205.0,92205.0,85885.0
19,Centre Wellington,30645.0,7300.0,27085.0,110.0,27800.0,3950.0,4235.0,25755.0,35615.0,18320.0
20,Charlottetown,77380.0,21930.0,64980.0,4020.0,64845.0,8750.0,9525.0,66455.0,81545.0,58045.0
21,Chatham-Kent,102090.0,19915.0,92315.0,530.0,90225.0,10795.0,14085.0,87700.0,110330.0,73880.0
22,Chilliwack,111560.0,35805.0,94570.0,795.0,96535.0,12560.0,14590.0,93375.0,119885.0,75930.0
23,Cobourg,19780.0,5400.0,17190.0,40.0,18215.0,1820.0,3175.0,17985.0,22340.0,15565.0
24,Collingwood,24275.0,6850.0,20950.0,115.0,21400.0,2380.0,3625.0,21515.0,26960.0,18470.0
25,Corner Brook,28980.0,1580.0,28160.0,160.0,26795.0,3050.0,4355.0,26005.0,32995.0,21775.0
26,Cornwall,59750.0,10190.0,54655.0,570.0,52080.0,5745.0,8120.0,51780.0,63300.0,46680.0
27,Courtenay,62030.0,17280.0,53470.0,550.0,56285.0,5825.0,10240.0,54635.0,72555.0,43560.0
28,Cowansville,14285.0,1040.0,13755.0,45.0,12220.0,1255.0,2080.0,12955.0,17030.0,11935.0
29,Cranbrook,26295.0,5200.0,23590.0,390.0,23805.0,2720.0,4060.0,23020.0,30465.0,18285.0
30,Dawson Creek,17380.0,3775.0,15415.0,445.0,14395.0,1870.0,2045.0,14455.0,18065.0,12715.0
31,Dolbeau-Mistassini,14720.0,305.0,14515.0,85.0,12995.0,1395.0,2355.0,12965.0,18635.0,10635.0
32,Drummondville,98570.0,9105.0,93735.0,1130.0,83140.0,9955.0,13375.0,84615.0,119355.0,73530.0
33,Duncan,46435.0,12650.0,40330.0,275.0,41330.0,4400.0,7035.0,40645.0,51960.0,34165.0
34,Edmonton,1397750.0,877330.0,1008260.0,25580.0,1154300.0,175655.0,146315.0,1154295.0,1429530.0,986390.0
35,Edmundston,20930.0,1740.0,19915.0,295.0,18845.0,2010.0,3405.0,19565.0,25755.0,16980.0
36,Elliot Lake,11225.0,2405.0,10030.0,15.0,9870.0,705.0,2015.0,10195.0,12260.0,9350.0
